traffic,timestamp,data,time,interval
10.104311,1727870400,2024-10-02,20:00:00,+300
10.724027,1727870700,2024-10-02,20:05:00,+300
10.722396,1727871000,2024-10-02,20:10:00,+300
10.881899,1727871300,2024-10-02,20:15:00,+300
11.245749,1727871600,2024-10-02,20:20:00,+300
11.517166,1727871900,2024-10-02,20:25:00,+300
11.709686,1727872200,2024-10-02,20:30:00,+300
12.000083,1727872500,2024-10-02,20:35:00,+300
12.524214,1727872800,2024-10-02,20:40:00,+300
12.725751,1727873100,2024-10-02,20:45:00,+300
13.658368,1727873400,2024-10-02,20:50:00,+300
13.85893,1727873700,2024-10-02,20:55:00,+300
13.963448,1727874000,2024-10-02,21:00:00,+300
13.899968,1727874300,2024-10-02,21:05:00,+300
14.878209,1727874600,2024-10-02,21:10:00,+300
14.626947,1727874900,2024-10-02,21:15:00,+300
15.256884,1727875200,2024-10-02,21:20:00,+300
15.823956,1727875500,2024-10-02,21:25:00,+300
16.098588,1727875800,2024-10-02,21:30:00,+300
16.308376,1727876100,2024-10-02,21:35:00,+300
15.537686,1727876400,2024-10-02,21:40:00,+300
16.073495,1727876700,2024-10-02,21:45:00,+300
16.951513,1727877000,2024-10-02,21:50:00,+300
16.719144,1727877300,2024-10-02,21:55:00,+300
16.516259,1727877600,2024-10-02,22:00:00,+300
16.62444,1727877900,2024-10-02,22:05:00,+300
16.824626,1727878200,2024-10-02,22:10:00,+300
17.190795,1727878500,2024-10-02,22:15:00,+300
16.170488,1727878800,2024-10-02,22:20:00,+300
16.402582,1727879100,2024-10-02,22:25:00,+300
15.978233,1727879400,2024-10-02,22:30:00,+300
16.725222,1727879700,2024-10-02,22:35:00,+300
16.53891,1727880000,2024-10-02,22:40:00,+300
17.072784,1727880300,2024-10-02,22:45:00,+300
16.839022,1727880600,2024-10-02,22:50:00,+300
16.742541,1727880900,2024-10-02,22:55:00,+300
16.343999,1727881200,2024-10-02,23:00:00,+300
16.840893,1727881500,2024-10-02,23:05:00,+300
16.740887,1727881800,2024-10-02,23:10:00,+300
17.441504,1727882100,2024-10-02,23:15:00,+300
17.741603,1727882400,2024-10-02,23:20:00,+300
17.74184,1727882700,2024-10-02,23:25:00,+300
18.581401,1727883000,2024-10-02,23:30:00,+300
17.838069,1727883300,2024-10-02,23:35:00,+300
17.976503,1727883600,2024-10-02,23:40:00,+300
17.731002,1727883900,2024-10-02,23:45:00,+300
17.529945,1727884200,2024-10-02,23:50:00,+300
16.998268,1727884500,2024-10-02,23:55:00,+300
16.628207,1727884800,2024-10-03,00:00:00,+300
16.819107,1727885100,2024-10-03,00:05:00,+300
16.699311,1727885400,2024-10-03,00:10:00,+300
17.092754,1727885700,2024-10-03,00:15:00,+300
17.721146,1727886000,2024-10-03,00:20:00,+300
17.634756,1727886300,2024-10-03,00:25:00,+300
17.577939,1727886600,2024-10-03,00:30:00,+300
16.998006,1727886900,2024-10-03,00:35:00,+300
16.717855,1727887200,2024-10-03,00:40:00,+300
16.829675,1727887500,2024-10-03,00:45:00,+300
16.2966,1727887800,2024-10-03,00:50:00,+300
16.172184,1727888100,2024-10-03,00:55:00,+300
15.442079,1727888400,2024-10-03,01:00:00,+300
15.423177,1727888700,2024-10-03,01:05:00,+300
15.020141,1727889000,2024-10-03,01:10:00,+300
15.04474,1727889300,2024-10-03,01:15:00,+300
14.444674,1727889600,2024-10-03,01:20:00,+300
14.096015,1727889900,2024-10-03,01:25:00,+300
13.637203,1727890200,2024-10-03,01:30:00,+300
13.232492,1727890500,2024-10-03,01:35:00,+300
12.794378,1727890800,2024-10-03,01:40:00,+300
12.877293,1727891100,2024-10-03,01:45:00,+300
12.564473,1727891400,2024-10-03,01:50:00,+300
12.424376,1727891700,2024-10-03,01:55:00,+300
12.699297,1727892000,2024-10-03,02:00:00,+300
11.679827,1727892300,2024-10-03,02:05:00,+300
11.765354,1727892600,2024-10-03,02:10:00,+300
10.927823,1727892900,2024-10-03,02:15:00,+300
10.777941,1727893200,2024-10-03,02:20:00,+300
10.177895,1727893500,2024-10-03,02:25:00,+300
9.98227,1727893800,2024-10-03,02:30:00,+300
9.488208,1727894100,2024-10-03,02:35:00,+300
9.251748,1727894400,2024-10-03,02:40:00,+300
8.90767,1727894700,2024-10-03,02:45:00,+300
8.90298,1727895000,2024-10-03,02:50:00,+300
8.820923,1727895300,2024-10-03,02:55:00,+300
8.384579,1727895600,2024-10-03,03:00:00,+300
7.83231,1727895900,2024-10-03,03:05:00,+300
7.602866,1727896200,2024-10-03,03:10:00,+300
7.254564,1727896500,2024-10-03,03:15:00,+300
7.118974,1727896800,2024-10-03,03:20:00,+300
6.849261,1727897100,2024-10-03,03:25:00,+300
6.514976,1727897400,2024-10-03,03:30:00,+300
6.439657,1727897700,2024-10-03,03:35:00,+300
6.264628,1727898000,2024-10-03,03:40:00,+300
6.119125,1727898300,2024-10-03,03:45:00,+300
5.893955,1727898600,2024-10-03,03:50:00,+300
5.929624,1727898900,2024-10-03,03:55:00,+300
5.825891,1727899200,2024-10-03,04:00:00,+300
5.584615,1727899500,2024-10-03,04:05:00,+300
5.427798,1727899800,2024-10-03,04:10:00,+300
5.109917,1727900100,2024-10-03,04:15:00,+300
5.223892,1727900400,2024-10-03,04:20:00,+300
4.991631,1727900700,2024-10-03,04:25:00,+300
4.832247,1727901000,2024-10-03,04:30:00,+300
4.654002,1727901300,2024-10-03,04:35:00,+300
4.753946,1727901600,2024-10-03,04:40:00,+300
4.610278,1727901900,2024-10-03,04:45:00,+300
4.579453,1727902200,2024-10-03,04:50:00,+300
4.516648,1727902500,2024-10-03,04:55:00,+300
4.440862,1727902800,2024-10-03,05:00:00,+300
4.204104,1727903100,2024-10-03,05:05:00,+300
4.086673,1727903400,2024-10-03,05:10:00,+300
3.842722,1727903700,2024-10-03,05:15:00,+300
3.913205,1727904000,2024-10-03,05:20:00,+300
3.816619,1727904300,2024-10-03,05:25:00,+300
3.761034,1727904600,2024-10-03,05:30:00,+300
3.76186,1727904900,2024-10-03,05:35:00,+300
3.595279,1727905200,2024-10-03,05:40:00,+300
3.773573,1727905500,2024-10-03,05:45:00,+300
3.57743,1727905800,2024-10-03,05:50:00,+300
3.431775,1727906100,2024-10-03,05:55:00,+300
3.53537,1727906400,2024-10-03,06:00:00,+300
3.466771,1727906700,2024-10-03,06:05:00,+300
3.235981,1727907000,2024-10-03,06:10:00,+300
3.222289,1727907300,2024-10-03,06:15:00,+300
3.111323,1727907600,2024-10-03,06:20:00,+300
3.243186,1727907900,2024-10-03,06:25:00,+300
3.059679,1727908200,2024-10-03,06:30:00,+300
2.947876,1727908500,2024-10-03,06:35:00,+300
3.140399,1727908800,2024-10-03,06:40:00,+300
3.019893,1727909100,2024-10-03,06:45:00,+300
3.067676,1727909400,2024-10-03,06:50:00,+300
2.918651,1727909700,2024-10-03,06:55:00,+300
2.773254,1727910000,2024-10-03,07:00:00,+300
2.741774,1727910300,2024-10-03,07:05:00,+300
2.689507,1727910600,2024-10-03,07:10:00,+300
2.819891,1727910900,2024-10-03,07:15:00,+300
2.8308,1727911200,2024-10-03,07:20:00,+300
2.824972,1727911500,2024-10-03,07:25:00,+300
2.784432,1727911800,2024-10-03,07:30:00,+300
2.85249,1727912100,2024-10-03,07:35:00,+300
2.817207,1727912400,2024-10-03,07:40:00,+300
2.778694,1727912700,2024-10-03,07:45:00,+300
2.862802,1727913000,2024-10-03,07:50:00,+300
2.857149,1727913300,2024-10-03,07:55:00,+300
2.861662,1727913600,2024-10-03,08:00:00,+300
3.114252,1727913900,2024-10-03,08:05:00,+300
3.101431,1727914200,2024-10-03,08:10:00,+300
3.10193,1727914500,2024-10-03,08:15:00,+300
3.19195,1727914800,2024-10-03,08:20:00,+300
3.370214,1727915100,2024-10-03,08:25:00,+300
3.356494,1727915400,2024-10-03,08:30:00,+300
3.440025,1727915700,2024-10-03,08:35:00,+300
3.572857,1727916000,2024-10-03,08:40:00,+300
3.556878,1727916300,2024-10-03,08:45:00,+300
3.740718,1727916600,2024-10-03,08:50:00,+300
3.749057,1727916900,2024-10-03,08:55:00,+300
3.90529,1727917200,2024-10-03,09:00:00,+300
3.995661,1727917500,2024-10-03,09:05:00,+300
4.011343,1727917800,2024-10-03,09:10:00,+300
4.140041,1727918100,2024-10-03,09:15:00,+300
4.250459,1727918400,2024-10-03,09:20:00,+300
4.193306,1727918700,2024-10-03,09:25:00,+300
4.328973,1727919000,2024-10-03,09:30:00,+300
4.400951,1727919300,2024-10-03,09:35:00,+300
4.726166,1727919600,2024-10-03,09:40:00,+300
4.643642,1727919900,2024-10-03,09:45:00,+300
4.821594,1727920200,2024-10-03,09:50:00,+300
4.813962,1727920500,2024-10-03,09:55:00,+300
4.955425,1727920800,2024-10-03,10:00:00,+300
4.965727,1727921100,2024-10-03,10:05:00,+300
5.021191,1727921400,2024-10-03,10:10:00,+300
5.087827,1727921700,2024-10-03,10:15:00,+300
5.417018,1727922000,2024-10-03,10:20:00,+300
5.524209,1727922300,2024-10-03,10:25:00,+300
5.545272,1727922600,2024-10-03,10:30:00,+300
5.651055,1727922900,2024-10-03,10:35:00,+300
5.756639,1727923200,2024-10-03,10:40:00,+300
6.146962,1727923500,2024-10-03,10:45:00,+300
5.958094,1727923800,2024-10-03,10:50:00,+300
6.115777,1727924100,2024-10-03,10:55:00,+300
6.013702,1727924400,2024-10-03,11:00:00,+300
6.312384,1727924700,2024-10-03,11:05:00,+300
6.321289,1727925000,2024-10-03,11:10:00,+300
6.581848,1727925300,2024-10-03,11:15:00,+300
6.484487,1727925600,2024-10-03,11:20:00,+300
6.595302,1727925900,2024-10-03,11:25:00,+300
6.515925,1727926200,2024-10-03,11:30:00,+300
6.628292,1727926500,2024-10-03,11:35:00,+300
6.423471,1727926800,2024-10-03,11:40:00,+300
6.778154,1727927100,2024-10-03,11:45:00,+300
6.827218,1727927400,2024-10-03,11:50:00,+300
6.66523,1727927700,2024-10-03,11:55:00,+300
6.81616,1727928000,2024-10-03,12:00:00,+300
6.872707,1727928300,2024-10-03,12:05:00,+300
6.91181,1727928600,2024-10-03,12:10:00,+300
7.014815,1727928900,2024-10-03,12:15:00,+300
7.00337,1727929200,2024-10-03,12:20:00,+300
7.268463,1727929500,2024-10-03,12:25:00,+300
7.19406,1727929800,2024-10-03,12:30:00,+300
7.5855,1727930100,2024-10-03,12:35:00,+300
7.515132,1727930400,2024-10-03,12:40:00,+300
7.549394,1727930700,2024-10-03,12:45:00,+300
7.481468,1727931000,2024-10-03,12:50:00,+300
