traffic,timestamp,data,time,interval
10.558867,1727608800,2024-09-29,19:20:00,300.0
10.363071,1727609100,2024-09-29,19:25:00,300.0
10.274569,1727609400,2024-09-29,19:30:00,300.0
11.23829,1727609700,2024-09-29,19:35:00,300.0
11.505009,1727610000,2024-09-29,19:40:00,300.0
11.2283,1727610300,2024-09-29,19:45:00,300.0
11.095532,1727610600,2024-09-29,19:50:00,300.0
10.613888,1727610900,2024-09-29,19:55:00,300.0
11.532778,1727611200,2024-09-29,20:00:00,300.0
11.35032,1727611500,2024-09-29,20:05:00,300.0
11.004206,1727611800,2024-09-29,20:10:00,300.0
11.188121,1727612100,2024-09-29,20:15:00,300.0
11.599205,1727612400,2024-09-29,20:20:00,300.0
11.190913,1727612700,2024-09-29,20:25:00,300.0
11.82717,1727613000,2024-09-29,20:30:00,300.0
12.941117,1727613300,2024-09-29,20:35:00,300.0
13.511654,1727613600,2024-09-29,20:40:00,300.0
13.292832,1727613900,2024-09-29,20:45:00,300.0
12.594691,1727614200,2024-09-29,20:50:00,300.0
13.291608,1727614500,2024-09-29,20:55:00,300.0
13.81511,1727614800,2024-09-29,21:00:00,300.0
14.75205,1727615100,2024-09-29,21:05:00,300.0
14.173642,1727615400,2024-09-29,21:10:00,300.0
15.027082,1727615700,2024-09-29,21:15:00,300.0
16.047267,1727616000,2024-09-29,21:20:00,300.0
15.418674,1727616300,2024-09-29,21:25:00,300.0
15.417891,1727616600,2024-09-29,21:30:00,300.0
16.112464,1727616900,2024-09-29,21:35:00,300.0
16.461009,1727617200,2024-09-29,21:40:00,300.0
15.844185,1727617500,2024-09-29,21:45:00,300.0
16.232283,1727617800,2024-09-29,21:50:00,300.0
16.81642,1727618100,2024-09-29,21:55:00,300.0
16.009094,1727618400,2024-09-29,22:00:00,300.0
17.626763,1727618700,2024-09-29,22:05:00,300.0
18.099773,1727619000,2024-09-29,22:10:00,300.0
17.512636,1727619300,2024-09-29,22:15:00,300.0
17.789003,1727619600,2024-09-29,22:20:00,300.0
17.271013,1727619900,2024-09-29,22:25:00,300.0
17.226051,1727620200,2024-09-29,22:30:00,300.0
18.109273,1727620500,2024-09-29,22:35:00,300.0
17.53384,1727620800,2024-09-29,22:40:00,300.0
17.59796,1727621100,2024-09-29,22:45:00,300.0
18.049049,1727621400,2024-09-29,22:50:00,300.0
17.841301,1727621700,2024-09-29,22:55:00,300.0
18.127403,1727622000,2024-09-29,23:00:00,300.0
18.268342,1727622300,2024-09-29,23:05:00,300.0
17.782658,1727622600,2024-09-29,23:10:00,300.0
17.702822,1727622900,2024-09-29,23:15:00,300.0
17.718246,1727623200,2024-09-29,23:20:00,300.0
17.889834,1727623500,2024-09-29,23:25:00,300.0
16.971339,1727623800,2024-09-29,23:30:00,300.0
17.107199,1727624100,2024-09-29,23:35:00,300.0
17.25821,1727624400,2024-09-29,23:40:00,300.0
